Path,Artifact Type,Current Purpose,Referenced By,Classification,Information To Preserve,Canonical Destination,Recommended Action,Delete Preconditions,Risk,Git State,SHA256,Bytes,Reference Scan
README.jp.md,canonical-document,事实/架构/契约/开发部署用户指南,README/docs-manifest/文档链接及开发执行入口,KEEP_CANONICAL,当前有效事实、约束和多语语义,README.jp.md,KEEP,发现事实错误定点修订并同步docs-manifest；不得另建平行事实源,HIGH,tracked-clean,a6f8b4a3424661d8cb10dd0ded5228dcf5ccd0cc863bad7c61f8deb9ac81ab27,36288,KEEP asset: convention discovery; delete decisions require seven-domain refresh
README.kr.md,canonical-document,事实/架构/契约/开发部署用户指南,README/docs-manifest/文档链接及开发执行入口,KEEP_CANONICAL,当前有效事实、约束和多语语义,README.kr.md,KEEP,发现事实错误定点修订并同步docs-manifest；不得另建平行事实源,HIGH,tracked-clean,101466d12508fe478f191b3f4df77ef7bc941d97259e4885e3aafcb8f5e2754b,32721,KEEP asset: convention discovery; delete decisions require seven-domain refresh
README.md,canonical-document,事实/架构/契约/开发部署用户指南,README/docs-manifest/文档链接及开发执行入口,KEEP_CANONICAL,当前有效事实、约束和多语语义,README.md,KEEP,发现事实错误定点修订并同步docs-manifest；不得另建平行事实源,HIGH,tracked-clean,06185e1852d5f26decbae765b2d2710ad1ccba135129eef87113b02ba5f85223,31931,KEEP asset: convention discovery; delete decisions require seven-domain refresh
agent-progress.md,historical-process-document,历史计划/审查/进度/证据线索，不能独立证明当前通过,"历史报告/正式docs交叉引用需重定向; DOCS=docs/evidence/scaffold-upgrade/final-gate-unlock-preflight-2026-09-02.md:87,docs/evidence/scaffold-upgrade/handover-status-2026-09-03.md:75,docs/evidence/scaffold-upgrade/qoder-continuous-progress-2026-09-03.md:258,docs/evidence/scaffold-upgrade/srm-quotation-recovery-2026-09-03.md:93,docs/evidence/scaffold-upgrade/srm-supplier-quotation-qoder-handoff-2026-09-03.md:68,docs/evidence/scaffold-upgrade/wp10-inventory.md:57",MERGE_THEN_DELETE,仍有效的要求、决策、测试方法、缺陷与脱敏最终证据,docs/scaffold-upgrade-plan.md; docs/repository-governance.md; 对应正式领域/开发/运维指南或ADR,MERGE_THEN_DELETE,WP-013逐要求归并与引用迁移；新证据或可复用旧证据绑定候选；G1-G7通过；WP-015/Codex确认无唯一信息,HIGH,??,bd3391101559b075306a0d7e80258a0fb4475e16aa48308f6ef69c9884506c19,11149,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=0; DOCS=6; SCRIPT=0; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
baseline-candidate.yaml,unreviewed-adoption-candidate,未审定DB指纹候选，不是支持基线,"Maven/Vite/CLI/Compose惯例发现；KEEP资产不以无文本引用判断价值; DOCS=docs/evidence/scaffold-upgrade/defect-adoption-baseline-drift.md:41,docs/evidence/scaffold-upgrade/final-gate-unlock-preflight-2026-09-02.md:38,docs/evidence/scaffold-upgrade/handover-status-2026-09-03.md:75,docs/evidence/scaffold-upgrade/qoder-continuous-progress-2026-09-03.md:258,docs/evidence/scaffold-upgrade/srm-quotation-recovery-2026-09-03.md:93,docs/evidence/scaffold-upgrade/srm-supplier-quotation-qoder-handoff-2026-09-03.md:68,docs/scaffold-upgrade-plan.md:48; GOVERNANCE_LINKS=docs/scaffold-upgrade-plan.md:48",PROTECTED,来源/算法/旧新结构差异,ESCALATION-001; database/adoption/仅在正式决策后,DEFER,禁止启用或覆盖09a29fe；先旧库支持版本/真实备份/标签契约裁决，再决定保全归并,CRITICAL,??,83a20a9ac4810efaad078223860cfb98090ad855d74dc5e268e130c320c426dd,2277,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=0; DOCS=7; SCRIPT=0; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
compose.apps.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,Maven/Vite/CLI/Compose惯例发现；KEEP资产不以无文本引用判断价值,KEEP_ENGINEERING_ASSET,当前实现及安全/兼容契约,compose.apps.yaml,KEEP,禁止仅为清理删除；需确定性缺陷及最小WP,HIGH,tracked-clean,30de5251cf1494ce159ea8da3a1f3fa025e6d3da18d4994a08b67db0323061da,21814,KEEP asset: convention discovery; delete decisions require seven-domain refresh
compose.infra.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,Maven/Vite/CLI/Compose惯例发现；KEEP资产不以无文本引用判断价值,KEEP_ENGINEERING_ASSET,当前实现及安全/兼容契约,compose.infra.yaml,KEEP,禁止仅为清理删除；需确定性缺陷及最小WP,HIGH,tracked-clean,ab797d15b677dac1880da4653c9ee0d1c24995753ef4b7f7e9abc55517a90542,6663,KEEP asset: convention discovery; delete decisions require seven-domain refresh
compose.observability.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,Maven/Vite/CLI/Compose惯例发现；KEEP资产不以无文本引用判断价值,KEEP_ENGINEERING_ASSET,当前实现及安全/兼容契约,compose.observability.yaml,KEEP,禁止仅为清理删除；需确定性缺陷及最小WP,HIGH,tracked-clean,c5579762657097c85b372f4401093e7f3586fb81c804d9c036642f96f62151b0,3982,KEEP asset: convention discovery; delete decisions require seven-domain refresh
compose.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,Maven/Vite/CLI/Compose惯例发现；KEEP资产不以无文本引用判断价值,KEEP_ENGINEERING_ASSET,当前实现及安全/兼容契约,compose.yaml,KEEP,禁止仅为清理删除；需确定性缺陷及最小WP,HIGH,tracked-clean,a1fff81f273960876af0dac0d77b16ddfd6bae168e9be6ceb759e5750b0f709e,429,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/adoption/baseline-09a29fe.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/adoption/baseline-09a29fe.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,d5a0630e9843e9b3e65fbeacba5f3f7200d5d2e066480bd46a0bd3b9a60f3af3,2075,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/asset/0001-asset-schema.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/asset/0001-asset-schema.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,6b58507c995116b9002149b95d3fd2557e3ed848f09192e034f033baea5484e3,15277,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/asset/db.changelog-asset.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/asset/db.changelog-asset.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,c8568a62b53fe808978a9a645d36fefd6a807cd0270512275f6f966ffaae8aa9,171,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/auth/0001-auth-schema.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/auth/0001-auth-schema.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,9af9e6ff762ce488d74727073bb59bd10834dc33fe5edc90e5a7f6880890bfe0,23611,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/auth/0002-tenant-provisioning.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/auth/0002-tenant-provisioning.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,4af08ca093408c6e5240e36b6ab94bf4ca75392b0338a9ccff2d2c5ded1ca94e,3209,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/auth/0003-auth-seed.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/auth/0003-auth-seed.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,1922136d4a71e2be08700feea72c7d974bfca14c3498209e8657385e1539ed1a,457,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/auth/0004-procurement-approval-rule-labels.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/auth/0004-procurement-approval-rule-labels.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,8a15aadf9ff5a5a9a0995ea9af480b8d3ef656af4d123cbd3141d27ae31b2f75,2387,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/auth/0005-admin-procurement-approval-candidate.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/auth/0005-admin-procurement-approval-candidate.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,6adbd957d70313b781f6a94283c1e32ab4fddb5bf771dcc8aeee0f3b9a4822c6,3491,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/auth/db.changelog-auth.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/auth/db.changelog-auth.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,b7672af68d11f69c828efd0bb4d32ef5ba502ab9cac058e36206193820848232,505,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/base/0001-base-schema.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/base/0001-base-schema.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,7cd3917caa0703fd96748b6e9ab2cbd77a1160733851937e93c7246091ba4697,12085,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/base/0002-base-seed.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/base/0002-base-seed.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,e6e64fc7adaa211a112052b85d06a9e12937d451cba4ca4062cb43618315045e,445,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/base/db.changelog-base.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/base/db.changelog-base.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,310547fdaaec0bbe34fd68c6b6752cd1b0e2b72ae240991dd84c5dc0c7059090,238,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/common/0001-mq-schema.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/common/0001-mq-schema.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,0051d1848084a00beb8e6bcc2feed2f0fd18c7224b7fdb635c7b3b23db841bcb,3046,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/common/0002-mq-normalize.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/common/0002-mq-normalize.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,7fea0f872ba1d42da808eb71e70cce81b949a4988f7204e07e601fab9a2b41ae,4940,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/common/0003-tenant-provision-receipt.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/common/0003-tenant-provision-receipt.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,8df0b9291a3f07efa244411fe2c317b72afbfeb13977b9aa93a0f11cf1756ded,2176,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/common/0004-mq-producer-trace.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/common/0004-mq-producer-trace.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,e6f9b03f8219d87ad7ea48becf19afe7d33f19a91f1f0a6406a2be6e513565e1,721,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/common/db.changelog-common-mq.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/common/db.changelog-common-mq.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,345977e451bc0069d234cabf4374b40cd193f80f593875d8360e7455095263db,329,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/crm/0001-crm-schema.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/crm/0001-crm-schema.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,f6b30721340b72c92b49d69549f9d9f8baf64adb87eb7e3c9d5e27d7d1692eed,21405,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/crm/0002-crm-seed.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/crm/0002-crm-seed.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,502f7799af4cdd0278628032fbcacbe0e2afbbc75694c7ade5587242310b387b,441,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/crm/db.changelog-crm.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/crm/db.changelog-crm.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,d2b43bfabd52528b1fb63a356f8f6b5cc1d6f70c92416b484f1b851e0ac69293,234,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/db.changelog-root.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/db.changelog-root.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,02379920ec94fb222c8540aac33609de9b4cfdddb78f5e16a7c1bd74ec41da09,99,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/nacos/0002-nacos-seed.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/nacos/0002-nacos-seed.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,d7a4e4c7647c8b9d7159e5fddf6a3990038ab55a7265f80f43dac9eac5c115c6,434,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/nacos/db.changelog-nacos.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/nacos/db.changelog-nacos.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,7c7836cd0c679906aec8ec5908e2472c4a4cc82fa63b9dfedc2ef21c42f5dce7,176,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/platform/db.changelog-platform.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/platform/db.changelog-platform.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,8e7a053b275cfca9b07c3d924ca8407c38bd6bc96882949692cc9f40f31c0a2e,1452,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/procurement/0001-procurement-schema.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/procurement/0001-procurement-schema.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,08a1193c6ce2233ba321d8ac1a1b5a94a61a3f47247c6c67cebf5ed3c4dd9a1e,33591,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/procurement/0002-procurement-seed.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/procurement/0002-procurement-seed.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,33f4128b8e49cf2820753c32bedc88215c3523115b0b4852b3cc7ea5977e0b7e,466,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/procurement/0003-approval-route-business-name.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/procurement/0003-approval-route-business-name.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,07483e8585d1a4bfabbdbd07d7c475528fb08f02739d2f55ccf3b52e63c877b8,1323,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/procurement/db.changelog-procurement.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/procurement/db.changelog-procurement.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,e2d3f85fa037e7269531ad8389703a74cfefbef9688e2137160f0bbf4cef8495,361,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/srm/0001-srm-schema.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/srm/0001-srm-schema.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,d73d140cfd04074b4c95c6b31918c83915cc95c443444fcdb955dd5c6051f6b3,34202,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/srm/0002-srm-seed.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/srm/0002-srm-seed.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,848808630562a0550ee4736359c0558a5c07b39e59c6777e1d467bc1380734cb,441,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/srm/db.changelog-srm.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/srm/db.changelog-srm.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,73ca3f64090aed43816fd30c0954d35d8973000fa19f0a33de481bb25d606d93,234,KEEP asset: convention discovery; delete decisions require seven-domain refresh
database/changelog/vendor/flowable/0001-flowable-8.0.0-schema.yaml,production-or-engineering,长期源码/配置/构建/部署/生成器资产,omni-db-migrator资源加载、root/各模块changelog、adoption属性；Git兼容历史,PROTECTED,当前实现及安全/兼容契约,database/changelog/vendor/flowable/0001-flowable-8.0.0-schema.yaml,KEEP,不可删除/重写已应用changeSet及已支持基线；新证据只能新增forward-only变更或ADR,CRITICAL,tracked-clean,6264a3512d5ce4fc5e1ccafb1666a1f2ce8b29a3b8a95630bfdb870f5a224385,69196,KEEP asset: convention discovery; delete decisions require seven-domain refresh
